"","anantharaman_abe_1_1","anantharaman_abe_2_2","anantharaman_abe_background_3","anantharaman_kilo_moana_km1_4","anantharaman_kilo_moana_km4_1_5","anantharaman_kilo_moana_km4_2_6","anantharaman_mariner_7","anantharaman_mariner_background_8","anantharaman_tahi_moana_9","anantharaman_tahi_moana_background_10","anantharaman_tui_malila_11","anderson_hulk_cellular_12","anderson_hulk_virome_13","axial_seamount_unpublished_anemone_14","axial_seamount_unpublished_dependable_15","axial_seamount_unpublished_elguapo_16","axial_seamount_unpublished_marker113_18","axial_seamount_unpublished_marker33_17","axial_seamount_unpublished_marshmallow_19","axial_seamount_unpublished_n3_20","cayman_rise_unpublished_beebe_21","cayman_rise_unpublished_beebe_background_22","cayman_rise_unpublished_von_damm_2041_23","cayman_rise_unpublished_von_damm_2238_24","lanzen_trollveggen_25","lesniewski_guaymas_basin_GD1_26","lesniewski_guaymas_basin_GD2_27","nakai_fryer_28","perner_sisters_peak_29","stokke_lokis_castle_30","tang_kueishantao_G1_31","tang_kueishantao_G2_32","TARA_023_DCM_0.22-1.6_41","TARA_023_SRF_0.22-1.6_40","TARA_038_MES_0.22-1.6_42","xie_4143-1_33"
"anantharaman_abe_1_1",0,0.326162585392861,0.44436087670612,0.459858304403535,0.238457302012955,0.24500108927811,0.601572403646258,0.282281713968768,0.454488269615106,0.518979495913619,0.395486667376752,0.771924245074498,0.766138517355282,0.400639835881616,0.868285957657929,0.351133620531065,0.636541251438424,0.538717212215931,0.504181054830866,0.640344657031679,0.403338581712561,0.488368730072046,0.657553459718924,0.606702552717977,0.797541256307342,0.341123751390317,0.37243729245231,0.918165099458681,0.981067672521273,0.868536299132712,0.89258782887355,0.743370599746845,0.690765931589254,0.69868977934024,0.554390429483941,0.850562539819848
"anantharaman_abe_2_2",0.326162585392861,0,0.439507294277302,0.447496795462656,0.180049826998658,0.102612542874359,0.61666177954864,0.260828067317073,0.454305140384896,0.297183836758529,0.425841838827113,0.810514430010727,0.828794944615031,0.325169418421607,0.90072404966877,0.267090422239579,0.749964714148677,0.662362989059739,0.331724476651479,0.725743825708133,0.531836079779459,0.58475658829956,0.739690754062076,0.70119310310258,0.883732021852507,0.355437561332989,0.362732078667944,0.935723732888413,0.985441832761903,0.914787710936628,0.937611433035938,0.726833289193556,0.662806969861378,0.67121284715912,0.572812098276831,0.872894535055241
"anantharaman_abe_background_3",0.44436087670612,0.439507294277302,0,0.269189633526969,0.442637469531333,0.458666197624373,0.667823488416867,0.457579240966909,0.269783467075669,0.690905206570042,0.286137425241193,0.804094896174714,0.819504195503048,0.634860735978814,0.880080830271862,0.605941829181779,0.733072204999933,0.712422394773297,0.698267138983709,0.794054825211089,0.529584334891343,0.600387447876874,0.740640204976954,0.701719335743909,0.858316149215956,0.521148606162229,0.558669139060328,0.913238006577459,0.975068924277712,0.898807122565043,0.897104323044192,0.797497402884927,0.53708954541297,0.546779786625658,0.463842891199116,0.876601487785746
"anantharaman_kilo_moana_km1_4",0.459858304403535,0.447496795462656,0.269189633526969,0,0.478708547985111,0.446399412679369,0.667183702213171,0.429586077165544,0.319089998231862,0.696728651838614,0.24508649763853,0.812613544345754,0.861819529749298,0.655544858976405,0.886844483277836,0.615814744101412,0.763378151375089,0.742018085773121,0.724957486928717,0.818488184570392,0.481448744614268,0.538095963046375,0.700372517487534,0.662938223828729,0.880269617022713,0.510784722825315,0.554836405389744,0.913067235218805,0.978161931093534,0.923036983114351,0.92287299262682,0.819055660738541,0.544696267677163,0.547085906888738,0.457480581454564,0.902494078948747
"anantharaman_kilo_moana_km4_1_5",0.238457302012955,0.180049826998658,0.442637469531333,0.478708547985111,0,0.140990965383338,0.609310534358393,0.267431303337166,0.442440318887023,0.372657146016308,0.467075279297621,0.794744643008384,0.80629457984761,0.328208643964217,0.878987685650868,0.298423269305218,0.709456716158767,0.622413622624135,0.38899107354038,0.693186147541377,0.521941703244819,0.597608291227903,0.718364380299102,0.675692225009747,0.854341244511746,0.382561786797862,0.373971898148816,0.925398543945019,0.982199075750048,0.902066821803585,0.921578772823839,0.747157650232437,0.733803248019489,0.742154670768329,0.643070675164983,0.856720440922075
"anantharaman_kilo_moana_km4_2_6",0.24500108927811,0.102612542874359,0.458666197624373,0.446399412679369,0.140990965383338,0,0.615817595718313,0.223436674528489,0.458986275880104,0.351396993363121,0.411890009177517,0.811978023110779,0.831097031536959,0.320049563009797,0.888456687645636,0.245214940800104,0.732303967121304,0.637084244640581,0.374873380452175,0.713241011483949,0.476182860628304,0.539184003822804,0.710404087075591,0.66762107364894,0.869465198563966,0.326267711750113,0.335027589724446,0.936478466018948,0.98593304345813,0.914554495862247,0.943736581275687,0.743454045601343,0.664838358835884,0.672346444314709,0.565367125748688,0.870409311876106
"anantharaman_mariner_7",0.601572403646258,0.61666177954864,0.667823488416867,0.667183702213171,0.609310534358393,0.615817595718313,0,0.598738095761187,0.649752677541342,0.657341663338727,0.64408252545362,0.764744204748176,0.753206102309538,0.664781006782855,0.911935062899163,0.664486656824546,0.80476475983302,0.74383630741115,0.704239851463048,0.79378043758413,0.624532293881508,0.678619002996139,0.61621472498778,0.585877611392728,0.913039472559511,0.597000240954821,0.595372648231734,0.920994045432606,0.98640368664749,0.934077086850587,0.944383607067415,0.785390542570241,0.794820152617103,0.809517373360999,0.713978502324148,0.875095622025411
"anantharaman_mariner_background_8",0.282281713968768,0.260828067317073,0.457579240966909,0.429586077165544,0.267431303337166,0.223436674528489,0.598738095761187,0,0.415554877941324,0.448371114753805,0.376137703644808,0.800529151349508,0.828181822472274,0.428977011790809,0.884130819346767,0.358535970457376,0.717188506410724,0.635304354015236,0.511963794230403,0.704129042663396,0.446624332506345,0.503913209468057,0.697804557647076,0.65008306654022,0.870072055346606,0.319364354422136,0.330765500261135,0.9185715701642,0.985799519451419,0.926731061121655,0.922996120524039,0.757742271340202,0.64149518370042,0.652485681143546,0.479739500114865,0.879481412273751
"anantharaman_tahi_moana_9",0.454488269615106,0.454305140384896,0.269783467075669,0.319089998231862,0.442440318887023,0.458986275880104,0.649752677541342,0.415554877941324,0,0.677790203010827,0.32387308811055,0.819202502669266,0.856617705548136,0.640096980043125,0.915064439621706,0.610647223613738,0.760012712742395,0.732891463853442,0.709874180075675,0.798637379294123,0.537189259524019,0.607189112397856,0.754913721509642,0.719483388141202,0.891592317166037,0.525387827348931,0.555315609831488,0.928247092452842,0.979538447994432,0.92017607089367,0.919694090629253,0.795431058210126,0.634757706753895,0.648103199489271,0.540722359271273,0.898945595117664
"anantharaman_tahi_moana_background_10",0.518979495913619,0.297183836758529,0.690905206570042,0.696728651838614,0.372657146016308,0.351396993363121,0.657341663338727,0.448371114753805,0.677790203010827,0,0.657446989035897,0.79350582681932,0.807505086451405,0.368105183622922,0.901133113913203,0.334896687489104,0.773142985406899,0.683818931393337,0.265606157859598,0.723596713981017,0.668043263467138,0.682970298388284,0.744121248691147,0.716550556331041,0.875880183014306,0.476096440066644,0.451617777892388,0.923111855807326,0.985624704818387,0.904822093643967,0.937069878888794,0.748390659433369,0.779601027606064,0.785748745806928,0.703530122748,0.862831297333668
"anantharaman_tui_malila_11",0.395486667376752,0.425841838827113,0.286137425241193,0.24508649763853,0.467075279297621,0.411890009177517,0.64408252545362,0.376137703644808,0.32387308811055,0.657446989035897,0,0.817530855349712,0.84789920357867,0.593946914651309,0.897930171640182,0.546642172397298,0.713785652527575,0.673052487437393,0.68400280593665,0.750635602716233,0.46709149338833,0.518788649293869,0.696478256416044,0.654459901147535,0.870236175720172,0.461971187584553,0.505194383384169,0.931611701549447,0.978013749108395,0.920656648752913,0.917238099502656,0.786332530653365,0.499385947033146,0.502158639398052,0.344028474643243,0.884206765150639
"anderson_hulk_cellular_12",0.771924245074498,0.810514430010727,0.804094896174714,0.812613544345754,0.794744643008384,0.811978023110779,0.764744204748176,0.800529151349508,0.819202502669266,0.79350582681932,0.817530855349712,0,0.430139049459649,0.70548636332359,0.817035675123218,0.740068437183363,0.733455337298462,0.657661610568306,0.763071868243653,0.780306540822217,0.713474400086929,0.716989666114997,0.698422303471626,0.67500467086006,0.766535908541043,0.734499394428744,0.734949747185302,0.833264452900581,0.963272847798178,0.818650569829632,0.654940597219744,0.750597774508756,0.745849498868413,0.752616391055035,0.777401579630226,0.809973679263019
"anderson_hulk_virome_13",0.766138517355282,0.828794944615031,0.819504195503048,0.861819529749298,0.80629457984761,0.831097031536959,0.753206102309538,0.828181822472274,0.856617705548136,0.807505086451405,0.84789920357867,0.430139049459649,0,0.684110500794174,0.843934614252354,0.742888737796821,0.658106401704059,0.572059130905201,0.750963154485914,0.704338057211278,0.787791555134225,0.795179802964743,0.723239564258168,0.699567021564126,0.691128391732392,0.774540735132795,0.761775002920497,0.831087162136824,0.949132630007268,0.787551543735516,0.682858205414277,0.820841547585519,0.845594732961781,0.864320334038828,0.818668674006858,0.768215245245745
"axial_seamount_unpublished_anemone_14",0.400639835881616,0.325169418421607,0.634860735978814,0.655544858976405,0.328208643964217,0.320049563009797,0.664781006782855,0.428977011790809,0.640096980043125,0.368105183622922,0.593946914651309,0.70548636332359,0.684110500794174,0,0.871278694584746,0.156354558973282,0.534411454780878,0.38202914103391,0.274785527145969,0.536271247432517,0.598201028309021,0.619416379104879,0.703659396054854,0.665039712727313,0.641988047311756,0.426813250541527,0.412615772400224,0.910620166203906,0.967350827851911,0.737047798669483,0.824306064700642,0.713755608427419,0.727138064497795,0.729778199885323,0.621964066234424,0.794204227718391
"axial_seamount_unpublished_dependable_15",0.868285957657929,0.90072404966877,0.880080830271862,0.886844483277836,0.878987685650868,0.888456687645636,0.911935062899163,0.884130819346767,0.915064439621706,0.901133113913203,0.897930171640182,0.817035675123218,0.843934614252354,0.871278694584746,0,0.871803252639211,0.849167363363987,0.856360902557613,0.877580957373877,0.83103682497195,0.844694613245442,0.85621304033445,0.83573844482666,0.831013531643119,0.856745291722873,0.864881354597878,0.875654169082978,0.706586322226446,0.949124207946895,0.896397421236249,0.924895519266981,0.890427247430489,0.898568171611271,0.893433071666055,0.891437607754127,0.732418430528005
"axial_seamount_unpublished_elguapo_16",0.351133620531065,0.267090422239579,0.605941829181779,0.615814744101412,0.298423269305218,0.245214940800104,0.664486656824546,0.358535970457376,0.610647223613738,0.334896687489104,0.546642172397298,0.740068437183363,0.742888737796821,0.156354558973282,0.871803252639211,0,0.61002329173807,0.505233327493561,0.261786857122,0.601291513475276,0.518556120038786,0.536308809294324,0.677052228178902,0.631619033897075,0.750686035616713,0.315261783040907,0.309528325521623,0.912116514280759,0.978475055103491,0.824415469999987,0.877550504565404,0.703943990735521,0.665585007770772,0.67987723923833,0.573061780165034,0.825108601260022
"axial_seamount_unpublished_marker113_18",0.636541251438424,0.749964714148677,0.733072204999933,0.763378151375089,0.709456716158767,0.732303967121304,0.80476475983302,0.717188506410724,0.760012712742395,0.773142985406899,0.713785652527575,0.733455337298462,0.658106401704059,0.534411454780878,0.849167363363987,0.61002329173807,0,0.310027857530494,0.682440545502387,0.351871865465582,0.711525131499939,0.713792520129306,0.779263644105024,0.750250539353751,0.462698543981474,0.710782634059395,0.72989134052351,0.905117604229966,0.934095172495766,0.725133119222522,0.764009836190827,0.831056326724905,0.827669595149943,0.83308430927129,0.634836431938471,0.763585735021978
"axial_seamount_unpublished_marker33_17",0.538717212215931,0.662362989059739,0.712422394773297,0.742018085773121,0.622413622624135,0.637084244640581,0.74383630741115,0.635304354015236,0.732891463853442,0.683818931393337,0.673052487437393,0.657661610568306,0.572059130905201,0.38202914103391,0.856360902557613,0.505233327493561,0.310027857530494,0,0.574707367106174,0.401209081600126,0.675208875333602,0.683861856384457,0.739737859720523,0.706672725927206,0.472725528800041,0.613600826110439,0.631074312210418,0.911440316736888,0.945258470999776,0.646724052930846,0.699760418417347,0.781782656192265,0.805078959942299,0.809007418658339,0.643844421393369,0.751700109943622
"axial_seamount_unpublished_marshmallow_19",0.504181054830866,0.331724476651479,0.698267138983709,0.724957486928717,0.38899107354038,0.374873380452175,0.704239851463048,0.511963794230403,0.709874180075675,0.265606157859598,0.68400280593665,0.763071868243653,0.750963154485914,0.274785527145969,0.877580957373877,0.261786857122,0.682440545502387,0.574707367106174,0,0.622078702069206,0.685016259242217,0.68793100937585,0.735300548359732,0.714104478432148,0.797797507559186,0.458544629197063,0.429992211188637,0.90335785785245,0.978955261416075,0.847372674035549,0.897196280627354,0.704929354173798,0.763814378433827,0.769458346875212,0.712967536451264,0.82827459490522
"axial_seamount_unpublished_n3_20",0.640344657031679,0.725743825708133,0.794054825211089,0.818488184570392,0.693186147541377,0.713241011483949,0.79378043758413,0.704129042663396,0.798637379294123,0.723596713981017,0.750635602716233,0.780306540822217,0.704338057211278,0.536271247432517,0.83103682497195,0.601291513475276,0.351871865465582,0.401209081600126,0.622078702069206,0,0.769047135310849,0.769968472335693,0.816493260496409,0.789316045780465,0.464660779199753,0.684129756180298,0.698476764802296,0.871834883254027,0.92898196665323,0.742790052010142,0.83060578071873,0.815598240821849,0.86894756346966,0.874567503379256,0.665496107321328,0.738060773466765
"cayman_rise_unpublished_beebe_21",0.403338581712561,0.531836079779459,0.529584334891343,0.481448744614268,0.521941703244819,0.476182860628304,0.624532293881508,0.446624332506345,0.537189259524019,0.668043263467138,0.46709149338833,0.713474400086929,0.787791555134225,0.598201028309021,0.844694613245442,0.518556120038786,0.711525131499939,0.675208875333602,0.685016259242217,0.769047135310849,0,0.166203401437221,0.45224327847234,0.380763737530978,0.825724503510193,0.40796291742462,0.454249534017259,0.886924501882155,0.979844155347176,0.893881254741123,0.902292577549765,0.791719988938149,0.624036710521591,0.643580821181185,0.49644431584848,0.8464102253796
"cayman_rise_unpublished_beebe_background_22",0.488368730072046,0.58475658829956,0.600387447876874,0.538095963046375,0.597608291227903,0.539184003822804,0.678619002996139,0.503913209468057,0.607189112397856,0.682970298388284,0.518788649293869,0.716989666114997,0.795179802964743,0.619416379104879,0.85621304033445,0.536308809294324,0.713792520129306,0.683861856384457,0.68793100937585,0.769968472335693,0.166203401437221,0,0.445078529206547,0.377431105827901,0.834683909223456,0.456786292407331,0.500094167739277,0.887245931561018,0.97972454661101,0.892791108475058,0.903643097384691,0.790462555191038,0.605395535897181,0.61759626035368,0.486416310069641,0.846562071777174
"cayman_rise_unpublished_von_damm_2041_23",0.657553459718924,0.739690754062076,0.740640204976954,0.700372517487534,0.718364380299102,0.710404087075591,0.61621472498778,0.697804557647076,0.754913721509642,0.744121248691147,0.696478256416044,0.698422303471626,0.723239564258168,0.703659396054854,0.83573844482666,0.677052228178902,0.779263644105024,0.739737859720523,0.735300548359732,0.816493260496409,0.45224327847234,0.445078529206547,0,0.113740649780005,0.868417920005254,0.624514450349039,0.624604559651729,0.887493932076762,0.984381299368384,0.920787179003118,0.917945992585407,0.828388944106224,0.731441676196448,0.752340333805506,0.67420439977437,0.858583704344685
"cayman_rise_unpublished_von_damm_2238_24",0.606702552717977,0.70119310310258,0.701719335743909,0.662938223828729,0.675692225009747,0.66762107364894,0.585877611392728,0.65008306654022,0.719483388141202,0.716550556331041,0.654459901147535,0.67500467086006,0.699567021564126,0.665039712727313,0.831013531643119,0.631619033897075,0.750250539353751,0.706672725927206,0.714104478432148,0.789316045780465,0.380763737530978,0.377431105827901,0.113740649780005,0,0.846176732493937,0.580965864434417,0.582927788286899,0.883030019726251,0.98272310409628,0.903719319660951,0.90508027738973,0.808738308492827,0.704332919994881,0.727386450613835,0.628315998902447,0.844585884126025
"lanzen_trollveggen_25",0.797541256307342,0.883732021852507,0.858316149215956,0.880269617022713,0.854341244511746,0.869465198563966,0.913039472559511,0.870072055346606,0.891592317166037,0.875880183014306,0.870236175720172,0.766535908541043,0.691128391732392,0.641988047311756,0.856745291722873,0.750686035616713,0.462698543981474,0.472725528800041,0.797797507559186,0.464660779199753,0.825724503510193,0.834683909223456,0.868417920005254,0.846176732493937,0,0.838915609703123,0.85955564119662,0.899996921340244,0.921665384730645,0.553786607323325,0.804461962820851,0.912990095027402,0.899163932777312,0.898741180373501,0.792241600591794,0.787417933095549
"lesniewski_guaymas_basin_GD1_26",0.341123751390317,0.355437561332989,0.521148606162229,0.510784722825315,0.382561786797862,0.326267711750113,0.597000240954821,0.319364354422136,0.525387827348931,0.476096440066644,0.461971187584553,0.734499394428744,0.774540735132795,0.426813250541527,0.864881354597878,0.315261783040907,0.710782634059395,0.613600826110439,0.458544629197063,0.684129756180298,0.40796291742462,0.456786292407331,0.624514450349039,0.580965864434417,0.838915609703123,0,0.155405216260057,0.888307806092546,0.982550075225851,0.911516357786072,0.912888187177107,0.685779976241252,0.601857649547112,0.616433530582805,0.512632914653652,0.823889843218551
"lesniewski_guaymas_basin_GD2_27",0.37243729245231,0.362732078667944,0.558669139060328,0.554836405389744,0.373971898148816,0.335027589724446,0.595372648231734,0.330765500261135,0.555315609831488,0.451617777892388,0.505194383384169,0.734949747185302,0.761775002920497,0.412615772400224,0.875654169082978,0.309528325521623,0.72989134052351,0.631074312210418,0.429992211188637,0.698476764802296,0.454249534017259,0.500094167739277,0.624604559651729,0.582927788286899,0.85955564119662,0.155405216260057,0,0.893166393815114,0.983198206820749,0.917052480614329,0.91438997508778,0.694877459520871,0.619338235181726,0.643535319875002,0.56940483786204,0.829060277295223
"nakai_fryer_28",0.918165099458681,0.935723732888413,0.913238006577459,0.913067235218805,0.925398543945019,0.936478466018948,0.920994045432606,0.9185715701642,0.928247092452842,0.923111855807326,0.931611701549447,0.833264452900581,0.831087162136824,0.910620166203906,0.706586322226446,0.912116514280759,0.905117604229966,0.911440316736888,0.90335785785245,0.871834883254027,0.886924501882155,0.887245931561018,0.887493932076762,0.883030019726251,0.899996921340244,0.888307806092546,0.893166393815114,0,0.88879781141619,0.931349948619356,0.900806978250933,0.905011674041178,0.921234582414284,0.929484113216301,0.921097272305843,0.877246636359461
"perner_sisters_peak_29",0.981067672521273,0.985441832761903,0.975068924277712,0.978161931093534,0.982199075750048,0.98593304345813,0.98640368664749,0.985799519451419,0.979538447994432,0.985624704818387,0.978013749108395,0.963272847798178,0.949132630007268,0.967350827851911,0.949124207946895,0.978475055103491,0.934095172495766,0.945258470999776,0.978955261416075,0.92898196665323,0.979844155347176,0.97972454661101,0.984381299368384,0.98272310409628,0.921665384730645,0.982550075225851,0.983198206820749,0.88879781141619,0,0.933558315725628,0.944714138236161,0.9850398614469,0.988815988569864,0.988483614401707,0.983827592586764,0.961535970595385
"stokke_lokis_castle_30",0.868536299132712,0.914787710936628,0.898807122565043,0.923036983114351,0.902066821803585,0.914554495862247,0.934077086850587,0.926731061121655,0.92017607089367,0.904822093643967,0.920656648752913,0.818650569829632,0.787551543735516,0.737047798669483,0.896397421236249,0.824415469999987,0.725133119222522,0.646724052930846,0.847372674035549,0.742790052010142,0.893881254741123,0.892791108475058,0.920787179003118,0.903719319660951,0.553786607323325,0.911516357786072,0.917052480614329,0.931349948619356,0.933558315725628,0,0.851846005904444,0.89114657764808,0.942758819975307,0.948204326113086,0.88480791939901,0.805612058154674
"tang_kueishantao_G1_31",0.89258782887355,0.937611433035938,0.897104323044192,0.92287299262682,0.921578772823839,0.943736581275687,0.944383607067415,0.922996120524039,0.919694090629253,0.937069878888794,0.917238099502656,0.654940597219744,0.682858205414277,0.824306064700642,0.924895519266981,0.877550504565404,0.764009836190827,0.699760418417347,0.897196280627354,0.83060578071873,0.902292577549765,0.903643097384691,0.917945992585407,0.90508027738973,0.804461962820851,0.912888187177107,0.91438997508778,0.900806978250933,0.944714138236161,0.851846005904444,0,0.908298653192391,0.932781201164262,0.934784686019721,0.896968940748325,0.881616389287808
"tang_kueishantao_G2_32",0.743370599746845,0.726833289193556,0.797497402884927,0.819055660738541,0.747157650232437,0.743454045601343,0.785390542570241,0.757742271340202,0.795431058210126,0.748390659433369,0.786332530653365,0.750597774508756,0.820841547585519,0.713755608427419,0.890427247430489,0.703943990735521,0.831056326724905,0.781782656192265,0.704929354173798,0.815598240821849,0.791719988938149,0.790462555191038,0.828388944106224,0.808738308492827,0.912990095027402,0.685779976241252,0.694877459520871,0.905011674041178,0.9850398614469,0.89114657764808,0.908298653192391,0,0.774104246210923,0.778900952116564,0.749972865303365,0.810087353057357
"TARA_023_DCM_0.22-1.6_41",0.690765931589254,0.662806969861378,0.53708954541297,0.544696267677163,0.733803248019489,0.664838358835884,0.794820152617103,0.64149518370042,0.634757706753895,0.779601027606064,0.499385947033146,0.745849498868413,0.845594732961781,0.727138064497795,0.898568171611271,0.665585007770772,0.827669595149943,0.805078959942299,0.763814378433827,0.86894756346966,0.624036710521591,0.605395535897181,0.731441676196448,0.704332919994881,0.899163932777312,0.601857649547112,0.619338235181726,0.921234582414284,0.988815988569864,0.942758819975307,0.932781201164262,0.774104246210923,0,0.134003111766482,0.442572730309686,0.904635034947654
"TARA_023_SRF_0.22-1.6_40",0.69868977934024,0.67121284715912,0.546779786625658,0.547085906888738,0.742154670768329,0.672346444314709,0.809517373360999,0.652485681143546,0.648103199489271,0.785748745806928,0.502158639398052,0.752616391055035,0.864320334038828,0.729778199885323,0.893433071666055,0.67987723923833,0.83308430927129,0.809007418658339,0.769458346875212,0.874567503379256,0.643580821181185,0.61759626035368,0.752340333805506,0.727386450613835,0.898741180373501,0.616433530582805,0.643535319875002,0.929484113216301,0.988483614401707,0.948204326113086,0.934784686019721,0.778900952116564,0.134003111766482,0,0.446979146660737,0.906471310646849
"TARA_038_MES_0.22-1.6_42",0.554390429483941,0.572812098276831,0.463842891199116,0.457480581454564,0.643070675164983,0.565367125748688,0.713978502324148,0.479739500114865,0.540722359271273,0.703530122748,0.344028474643243,0.777401579630226,0.818668674006858,0.621964066234424,0.891437607754127,0.573061780165034,0.634836431938471,0.643844421393369,0.712967536451264,0.665496107321328,0.49644431584848,0.486416310069641,0.67420439977437,0.628315998902447,0.792241600591794,0.512632914653652,0.56940483786204,0.921097272305843,0.983827592586764,0.88480791939901,0.896968940748325,0.749972865303365,0.442572730309686,0.446979146660737,0,0.828517992581269
"xie_4143-1_33",0.850562539819848,0.872894535055241,0.876601487785746,0.902494078948747,0.856720440922075,0.870409311876106,0.875095622025411,0.879481412273751,0.898945595117664,0.862831297333668,0.884206765150639,0.809973679263019,0.768215245245745,0.794204227718391,0.732418430528005,0.825108601260022,0.763585735021978,0.751700109943622,0.82827459490522,0.738060773466765,0.8464102253796,0.846562071777174,0.858583704344685,0.844585884126025,0.787417933095549,0.823889843218551,0.829060277295223,0.877246636359461,0.961535970595385,0.805612058154674,0.881616389287808,0.810087353057357,0.904635034947654,0.906471310646849,0.828517992581269,0
