vent	name_to_plot	project	ocean	ocean_detail	platform	site	region	worldmap	depth	collection_year	temp	pH	spreading_rate	host_rock	O2 (μmolﾠ/kg)	H2	NH4+ (μmol/kg)	S2- (mg/L)	SiO2 (mmol/kg)	PO43- (μmol/L)	NO2- (μmol/L)	Ca2+ (mmol/kg)	Cl- (mmol/kg)  	Na+ (mmol/kg)	CH4	K+ (mmol/kg)	Fe2+ (mmol/kg)	CO2 (mmol/kg)	TA (μmol/L)	DOC (μmol/L)	tectonic_setting
anantharaman_abe_1_1	Anan. Abe_1	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Abe	Lau Basin	JKLMN	2001-3000	2009	301-400	4-6	60-80		0	0.2 mmol/kg	201-400				0			430	0-1	25	0.72	8			back-arc 
anantharaman_abe_2_2	Anan. Abe_2	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Abe	Lau Basin	JKLMN	1001-2000	2009	301-400	4-6	60-80																		
anantharaman_abe_background_3	Anan. Abe_bkgr	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Abe	Lau Basin	JKLMN	2001-3000	2009	301-400		60-80																		
anantharaman_kilo_moana_km1_4	Anan. Kilo_Moana_KM1	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Kilo Moana	Lau Basin	JKLMN	2001-3000	2009	301-400		80-100	basalt																	back-arc 
anantharaman_kilo_moana_km4_1_5	Anan. Kilo_Moana_KM4_1	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Kilo Moana	Lau Basin	JKLMN	2001-3000	2009	301-400		80-100	basalt																	
anantharaman_kilo_moana_km4_2_6	Anan. Kilo_Moana_KM4_2	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Kilo Moana	Lau Basin	JKLMN	2001-3000	2009	301-400		80-100	basalt																	
anantharaman_mariner_7	Anan. Mariner	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Mariner	Lau Basin	JKLMN	1001-2000	2009	301-400	2-4	40-60	basalt	0	0.2 mmol/kg	201-400				0			458	0-1	36	11.3	32			back-arc 
anantharaman_mariner_background_8	Anan. Mariner_bkgr	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Mariner	Lau Basin	JKLMN	1001-2000	2009	301-400		40-60																		
anantharaman_tahi_moana_9	Anan. Tahi_Moana	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Tahi Moana	Lau Basin	JKLMN	2001-3000	2009			60-80																		back-arc 
anantharaman_tahi_moana_background_10	Anan. Tahi_Moana_bkgr	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Tahi Moana	Lau Basin	JKLMN	101-1000	2009			60-80																		
anantharaman_tui_malila_11	Anan. Tui_Malila	Anantharaman	Pazifik	Pazifik, SW	Illumina HiSeq 2000	Tui Malila	Lau Basin	JKLMN	1001-2000	2009	301-400		40-60	andesitic																	back-arc 
anderson_hulk_cellular_12	Anderson Hulk_cellular	Anderson	Pazifik	Pazifik, NO	454	Hulk	Juan de Fuca	ABCDEFGUV	2001-3000	2009	101-200		40-60	basalt																	mid-ocean ridge
anderson_hulk_virome_13	Anderson Hulk_virome	Anderson	Pazifik	Pazifik, NO	454	Hulk	Juan de Fuca	ABCDEFGUV	2001-3000	2009	101-200		40-60	basalt																	
axial_seamount_unpublished_anemone_14	Axial Smnt Anemone	Axial_seamount	Pazifik	Pazifik, NO	Illumina HiSeq 1000	Anemone	Juan de Fuca	ABCDEFGUV	1001-2000	2013	201-300		60-80																		back-arc 
axial_seamount_unpublished_dependable_15	Axial Smnt Dependable	Axial_seamount	Pazifik	Pazifik, NO	Illumina HiSeq 1000	Dependable	Juan de Fuca	ABCDEFGUV	1001-2000	2013	301-400																				
axial_seamount_unpublished_elguapo_16	Axial Smnt El Guapo	Axial_seamount	Pazifik	Pazifik, NO	Illumina HiSeq 1000	El Guapo	Juan de Fuca	ABCDEFGUV	1001-2000	2013	301-400		40-60	basalt																	mid-ocean ridge
axial_seamount_unpublished_marker113_18	Axial Smnt Marker113	Axial_seamount	Pazifik	Pazifik, NO	Illumina HiSeq 1000	Marker113	Juan de Fuca	ABCDEFGUV	1001-2000	2013	0-100		40-60	basalt																	mid-ocean ridge
axial_seamount_unpublished_marker33_17	Axial Smnt Marker33	Axial_seamount	Pazifik	Pazifik, NO	Illumina HiSeq 1000	Marker33	Juan de Fuca	ABCDEFGUV	1001-2000	2013	0-100		40-60	basalt																	mid-ocean ridge
axial_seamount_unpublished_marshmallow_19	Axial Smnt Marshmallow	Axial_seamount	Pazifik	Pazifik, NO	Illumina HiSeq 1000	Marshmallow	Juan de Fuca	ABCDEFGUV	1001-2000	2011	301-400		40-60	basalt																	mid-ocean ridge
axial_seamount_unpublished_n3_20	Axial Smnt N3	Axial_seamount	Pazifik	Pazifik, NO	Illumina HiSeq 1000	N3	Juan de Fuca	ABCDEFGUV	1001-2000	2011	301-400																				
cayman_rise_unpublished_beebe_21	Cayman Beebe	Cayman_rise	Atlantik	Atlantik, W	Illumina HiSeq 2500	Beebe	Cayman Rise	IO	4001-5000	2012	301-400		0-20	basalt																	mid-ocean ridge
cayman_rise_unpublished_beebe_background_22	Cayman Beebe_bkgr	Cayman_rise	Atlantik	Atlantik, W	Illumina HiSeq 2500	Beebe	Cayman Rise	IO	4001-5000	2012	301-400		0-20	basalt																	
cayman_rise_unpublished_von_damm_2041_23	Cayman Von Damm2041	Cayman_rise	Atlantik	Atlantik, W	Illumina HiSeq 2500	Von Damm	Cayman Rise	IO	2001-3000	2012	201-300		0-20	basalt																	mid-ocean ridge
cayman_rise_unpublished_von_damm_2238_24	Cayman Von Damm2238	Cayman_rise	Atlantik	Atlantik, W	Illumina HiSeq 2500	Von Damm	Cayman Rise	IO	2001-3000	2012	201-300		0-20	basalt																	
lanzen_trollveggen_25	Lanzen Trollveggen	Lanzen	Arktik	Arktik	454	Trollveggen	Mohns Ridge	PH	101-1000	2008	201-300	4-6	0-20																		mid-ocean ridge
lesniewski_guaymas_basin_GD1_26	Lesniewski GD1	Lesniewski	Pazifik	Pazifik, O	454	GD1	Guaymas Basin	QR	1001-2000	2004	0-100		40-60	sediment	27.38																mid-ocean ridge
lesniewski_guaymas_basin_GD2_27	Lesniewski GD2	Lesniewski	Pazifik	Pazifik, O	454	GD2	Guaymas Basin	QR	1001-2000	2004	0-100		40-60	sediment	27.04																mid-ocean ridge
nakai_fryer_28	Nakai Fryer	Nakai	Pazifik	Pazifik, W	454	Fryer	Mariana Trough	WT	2001-3000	2003	101-200		40-60																		back-arc 
perner_sisters_peak_29	Perner Sisters Peak	Perner	Atlantik	Atlantik, S	454	Sisters Peak	Mid-Atlantic Rdidge	S	2001-3000	2009	401-500		20-40	basalt		1.6 mmol/L									1-2						mid-ocean ridge
stokke_lokis_castle_30	Stokke Lokis Castle	Stokke	Arktik	Arktik	454	Lokis Castle	Mid-Arctic Ridge	PH	2001-3000	2009	301-400	6-8	0-20	basalt		4.8 mmol/kg	401-600		15.1			48.7	477	395	12-13	34.8	0.02	26			mid-ocean ridge
tang_kueishantao_G1_31	Tang G1	Tang	Pazifik	Pazifik, W	454	Kueishantao	Guishan Island	WT	0-100	2010	0-100	4-6	40-60		0.049		0-200	0.11	98.65	1.44	0.06				0-1				842.25	62.1	back-arc 
tang_kueishantao_G2_32	Tang G2	Tang	Pazifik	Pazifik, W	454	Kueishantao	Guishan Island	WT	0-100	2010	0-100	4-6	40-60				0-200	0.01	22.36	0.02	0.13				0-1				1468.92	64.1	back-arc 
xie_4143-1_33	Xie 4143-1	Xie	Pazifik	Pazifik, NO	454	4143-1	Juan de Fuca	ABCDEFGUV	2001-3000	2003	301-400	4-6	60-80																		
